OBJECTID,ZIP_CODE,AdminOffice
950,92258,EHC
951,92260,EHC
952,92262,EHC
953,92264,EHC
954,92267,EHC
955,92268,EHC
956,92270,EHC
957,92276,EHC
958,92277,EHC
959,92278,EHC
960,92280,EHC
961,92282,EHC
962,92284,EHC
963,92285,EHC
964,92304,EHC
965,92332,EHC
966,92363,EHC
967,92536,EHC
968,92539,EHC
969,92549,EHC
970,92561,EHC
971,91901,FH
972,91902,FH
973,91905,FH
974,91906,FH
975,91910,FH
976,91911,FH
977,91913,FH
978,91914,FH
979,91915,FH
980,91916,FH
981,91917,FH
982,91931,FH
983,91932,FH
984,91934,FH
985,91935,FH
986,91941,FH
987,91942,FH
988,91945,FH
989,91950,FH
990,91962,FH
991,91963,FH
992,91977,FH
993,91978,FH
994,91980,FH
995,92003,FH
996,92004,FH
997,92007,FH
998,92008,FH
999,92009,FH
1000,92010,FH
1001,92011,FH
1002,92014,FH
1003,92019,FH
1004,92020,FH
1005,92021,FH
1006,92024,FH
1007,92025,FH
1008,92026,FH
1009,92027,FH
1010,92028,FH
1011,92029,FH
1012,92036,FH
1013,92037,FH
1014,92040,FH
1015,92054,FH
1016,92055,FH
1017,92056,FH
1018,92057,FH
1019,92058,FH
1020,92059,FH
1021,92060,FH
1022,92061,FH
1023,92064,FH
1024,92065,FH
1025,92066,FH
1026,92067,FH
1027,92069,FH
1028,92070,FH
1029,92071,FH
1030,92075,FH
1031,92078,FH
1032,92081,FH
1033,92082,FH
1034,92083,FH
1035,92084,FH
1036,92086,FH
1037,92091,FH
1038,92093,FH
1039,92096,FH
1040,92101,FH
1041,92102,FH
1042,92103,FH
1043,92104,FH
1044,92105,FH
1045,92106,FH
1046,92107,FH
1047,92108,FH
1048,92109,FH
1049,92110,FH
1050,92111,FH
1051,92113,FH
1052,92114,FH
1053,92115,FH
1054,92116,FH
1055,92117,FH
1056,92118,FH
1057,92119,FH
1058,92120,FH
1059,92121,FH
1060,92122,FH
1061,92123,FH
1062,92124,FH
1063,92126,FH
1064,92127,FH
1065,92128,FH
1066,92129,FH
1067,92130,FH
1068,92131,FH
1069,92134,FH
1070,92135,FH
1071,92136,FH
1072,92139,FH
1073,92140,FH
1074,92145,FH
1075,92147,FH
1076,92152,FH
1077,92154,FH
1078,92155,FH
1079,92173,FH
1080,92182,FH
1081,92227,FHA
1082,92231,FHA
1083,92233,FHA
1084,92243,FHA
1085,92249,FHA
1086,92250,FHA
1087,92251,FHA
1088,92257,FHA
1089,92259,FHA
1090,92266,FHA
1091,92273,FHA
1092,92274,FHA
1093,92275,FHA
1094,92281,FHA
1095,92283,FHA
1096,00061,GH
1097,94022,GH
1098,94024,GH
1099,94025,GH
1100,94027,GH
1101,94028,GH
1102,94035,GH
1103,94040,GH
1104,94041,GH
1105,94043,GH
1106,94085,GH
1107,94086,GH
1108,94087,GH
1109,94089,GH
1110,94301,GH
1111,94303,GH
1112,94304,GH
1113,94305,GH
1114,94306,GH
1115,95002,GH
1116,95005,GH
1117,95006,GH
1118,95007,GH
1119,95008,GH
1120,95010,GH
1121,95013,GH
1122,95014,GH
1123,95017,GH
1124,95018,GH
1125,95020,GH
1126,95023,GH
1127,95030,GH
1128,95032,GH
1129,95033,GH
1130,95035,GH
1131,95037,GH
1132,95041,GH
1133,95046,GH
1134,95050,GH
1135,95051,GH
1136,95053,GH
1137,95054,GH
1138,95060,GH
1139,95062,GH
1140,95064,GH
1141,95065,GH
1142,95066,GH
1143,95070,GH
1144,95073,GH
1145,95075,GH
1146,95110,GH
1147,95111,GH
1148,95112,GH
1149,95113,GH
1150,95116,GH
1151,95117,GH
1152,95118,GH
1153,95119,GH
1154,95120,GH
1155,95121,GH
1156,95122,GH
1157,95123,GH
1158,95124,GH
1159,95125,GH
1160,95126,GH
1161,95127,GH
1162,95128,GH
1163,95129,GH
1164,95130,GH
1165,95131,GH
1166,95132,GH
1167,95133,GH
1168,95134,GH
1169,95135,GH
1170,95136,GH
1171,95138,GH
1172,95139,GH
1173,95140,GH
1174,95141,GH
1175,95148,GH
1176,95192,GH
1177,93422,GHC
1178,93426,GHC
1179,93428,GHC
1180,93430,GHC
1181,93432,GHC
1182,93435,GHC
1183,93442,GHC
1184,93446,GHC
1185,93450,GHC
1186,93451,GHC
1187,93452,GHC
1188,93465,GHC
1189,93901,GHC
1190,93905,GHC
1191,93906,GHC
1192,93907,GHC
1193,93908,GHC
1194,93920,GHC
1195,93923,GHC
1196,93924,GHC
1197,93925,GHC
1198,93926,GHC
1199,93927,GHC
1200,93930,GHC
1201,93932,GHC
1202,93933,GHC
1203,93940,GHC
1204,93943,GHC
1205,93944,GHC
1206,93950,GHC
1207,93953,GHC
1208,93954,GHC
1209,93955,GHC
1210,93960,GHC
1211,93962,GHC
1212,95003,GHC
1213,95004,GHC
1214,95012,GHC
1215,95019,GHC
1216,95039,GHC
1217,95043,GHC
1218,95045,GHC
1219,95076,GHC
1220,00022,JH
1221,00034,JH
1222,00039,JH
1223,00048,JH
1224,00049,JH
